time,latitude,longitude_deg_east,u_mean_ms,v_mean_ms,uv_mag_mean_ms
2015-10-17T12:00:00Z,37.5,237.5,2.0421746,-3.108805,4.2750344
2015-11-17T00:00:00Z,37.5,237.5,0.58283067,-2.7356505,4.9833093
2015-12-17T12:00:00Z,37.5,237.5,2.2054157,-0.24220374,4.8571577
2016-01-17T12:00:00Z,37.5,237.5,0.5999187,3.6627202,5.9106736
2016-02-16T12:00:00Z,37.5,237.5,0.0717207,-1.8836602,4.7984123
2016-03-17T12:00:00Z,37.5,237.5,3.1210506,-0.9522712,6.6207633
2016-04-17T00:00:00Z,37.5,237.5,3.0444818,-4.1299067,6.265147
2016-05-17T12:00:00Z,37.5,237.5,4.8101892,-4.709339,7.005894
2016-06-17T00:00:00Z,37.5,237.5,4.7627406,-7.271465,9.118099
2016-07-17T12:00:00Z,37.5,237.5,6.3743315,-7.404878,9.958504
2016-08-17T12:00:00Z,37.5,237.5,6.1917005,-6.1245747,8.844432
2016-09-17T00:00:00Z,37.5,237.5,4.2903504,-5.489356,7.526942
2016-10-17T12:00:00Z,37.5,237.5,2.0263708,-1.5085096,5.538608
2016-11-17T00:00:00Z,37.5,237.5,0.87389755,-1.141079,4.007245
2016-12-17T12:00:00Z,37.5,237.5,0.6193188,-2.0979033,6.007789
2017-01-17T12:00:00Z,37.5,237.5,1.7957629,2.5246398,6.4595346
2017-02-16T00:00:00Z,37.5,237.5,2.40361,2.3585758,6.8341866
2017-03-17T12:00:00Z,37.5,237.5,1.9555869,-3.21028,6.08157
2017-04-17T00:00:00Z,37.5,237.5,2.6111844,-3.079072,6.112652
2017-05-17T12:00:00Z,37.5,237.5,5.2620397,-6.674949,8.887011
2017-06-17T00:00:00Z,37.5,237.5,5.2385716,-7.4617124,9.424654
2017-07-17T12:00:00Z,37.5,237.5,6.1336575,-7.710186,10.060334
2017-08-17T12:00:00Z,37.5,237.5,5.944933,-6.0956254,8.65669
2017-09-17T00:00:00Z,37.5,237.5,2.8070626,-3.9234142,5.3524547
2017-10-17T12:00:00Z,37.5,237.5,0.57401806,-4.809372,6.143325
2017-11-17T00:00:00Z,37.5,237.5,0.891347,-0.982596,3.8695579
2017-12-17T12:00:00Z,37.5,237.5,-0.8875883,-2.8933856,4.8912907
2018-01-17T12:00:00Z,37.5,237.5,0.21467657,-0.9155189,4.3451276
2018-02-16T00:00:00Z,37.5,237.5,1.0021625,-4.632311,5.935126
2018-03-17T12:00:00Z,37.5,237.5,1.7493572,0.28090855,4.9970827
2018-04-17T00:00:00Z,37.5,237.5,3.7587998,-4.1087832,6.586958
2018-05-17T12:00:00Z,37.5,237.5,5.9319334,-6.3490267,8.938878
2018-06-17T00:00:00Z,37.5,237.5,6.1129313,-8.503632,10.737195
2018-07-17T12:00:00Z,37.5,237.5,5.7456784,-7.285944,9.554889
2018-08-17T12:00:00Z,37.5,237.5,5.8351035,-6.5386243,8.956114
2018-09-17T00:00:00Z,37.5,237.5,4.7731476,-6.1351256,8.09016
2018-10-17T12:00:00Z,37.5,237.5,1.336751,-3.8674889,4.8451295
2018-11-17T00:00:00Z,37.5,237.5,0.4469651,-1.4780835,5.0318284
2018-12-17T12:00:00Z,37.5,237.5,-0.21206532,-1.7848172,5.1454496
2019-01-17T12:00:00Z,37.5,237.5,0.13114916,2.3229156,6.3836393
2019-02-16T00:00:00Z,37.5,237.5,3.1437955,2.144406,7.492971
2019-03-17T12:00:00Z,37.5,237.5,1.2989061,-0.108087674,4.932931
2019-04-17T00:00:00Z,37.5,237.5,3.8630066,-4.7501464,7.0584593
2019-05-17T12:00:00Z,37.5,237.5,5.436012,-3.4813147,7.4165635
2019-06-17T00:00:00Z,37.5,237.5,4.99812,-6.6803565,8.7367115
2019-07-17T12:00:00Z,37.5,237.5,6.398159,-7.605577,10.052035
2019-08-17T12:00:00Z,37.5,237.5,5.233734,-6.4149833,8.42887
2019-09-17T00:00:00Z,37.5,237.5,3.1148045,-5.4910073,6.743128
2019-10-17T12:00:00Z,37.5,237.5,0.007407146,-4.5265226,5.817287
2019-11-17T00:00:00Z,37.5,237.5,1.3540128,-3.0665848,5.1782284
2019-12-17T12:00:00Z,37.5,237.5,-0.020189103,1.7618294,5.8311768
2020-01-17T12:00:00Z,37.5,237.5,1.769353,-2.5947442,4.7903776
2020-02-16T12:00:00Z,37.5,237.5,1.4579645,-6.200606,6.8986363
2020-03-17T12:00:00Z,37.5,237.5,1.9227266,-1.6735394,4.621823
2020-04-17T00:00:00Z,37.5,237.5,3.4528465,-5.070885,7.1576214
2020-05-17T12:00:00Z,37.5,237.5,3.4099114,-4.2434573,6.443456
2020-06-17T00:00:00Z,37.5,237.5,4.989235,-6.1722894,8.374775
2020-07-17T12:00:00Z,37.5,237.5,6.337721,-6.3675666,9.232222
2020-08-17T12:00:00Z,37.5,237.5,4.5642366,-5.407634,7.4034777
2020-09-17T00:00:00Z,37.5,237.5,2.0696146,-3.89833,5.296485
2020-10-17T12:00:00Z,37.5,237.5,0.6255445,-3.1335132,4.405308
2020-11-17T00:00:00Z,37.5,237.5,0.79882926,-3.0093696,4.709922
2020-12-17T12:00:00Z,37.5,237.5,0.11114565,-1.8561485,4.74397
2021-01-17T12:00:00Z,37.5,237.5,0.23176548,-0.70836484,4.7146077
2021-02-16T00:00:00Z,37.5,237.5,1.1221216,-4.645123,6.2325444
2021-03-17T12:00:00Z,37.5,237.5,2.12383,-2.789548,5.6594706
2021-04-17T00:00:00Z,37.5,237.5,4.7815223,-5.777402,7.8620024
2021-05-17T12:00:00Z,37.5,237.5,5.867679,-8.413152,10.639701
2021-06-17T00:00:00Z,37.5,237.5,5.606009,-6.704415,9.043708
2021-07-17T12:00:00Z,37.5,237.5,6.865911,-6.8573437,9.840267
2021-08-17T12:00:00Z,37.5,237.5,5.348957,-5.742791,7.9698477
2021-09-17T00:00:00Z,37.5,237.5,3.7519815,-5.014487,6.849519
2021-10-17T12:00:00Z,37.5,237.5,2.0642166,-2.0237072,5.5221577
2021-11-17T00:00:00Z,37.5,237.5,-0.63381404,-2.227154,4.288239
2021-12-17T12:00:00Z,37.5,237.5,1.6592035,0.5787483,5.313165
2022-01-17T12:00:00Z,37.5,237.5,-0.23252425,-0.85041845,3.6173425
2022-02-16T00:00:00Z,37.5,237.5,0.14717846,-3.3488991,4.5394707
2022-03-17T12:00:00Z,37.5,237.5,2.3572469,-4.752447,6.1351175
2022-04-17T00:00:00Z,37.5,237.5,2.9836884,-5.5388174,7.700447
